date,totalChallan,disposedChallan,pendingChallan,pendingAmount,disposedAmount,totalAmount,pendingCourt,disposedCourt,totalCourt
2022-07-24,116176,54889,61287,77601268,59424146,137025414,35544,9452,44996
2018-06-06,16923,13049,3874,8682100,23407483,32089583,2725,949,3674
2017-04-28,1815,619,1196,1302899,1157422,2460321,789,93,882
2016-02-26,1407,154,1253,1022500,256091,1278591,958,29,987
2019-03-04,25287,21303,3984,7421952,30015887,37437839,1719,1702,3421
2025-07-20,247647,57694,189953,314017229,70221686,384238915,99443,4800,104243
2020-02-22,145145,55188,89957,19763649,55913784,75677433,72123,10851,82974
2021-07-02,141184,68030,73154,64676341,74256222,138932563,27109,13177,40286
2022-11-21,166216,74052,92164,153520025,104050338,257570363,58392,13661,72053
2018-02-18,1050,563,487,1380100,7541152,8921252,363,49,412
2021-09-29,132316,63833,68483,74791241,66637700,141428941,31765,10870,42635
2021-12-24,133105,62999,70106,93304659,79591629,172896288,22937,8184,31121
2019-04-11,31812,23421,8391,13617589,45526777,59144366,4632,3166,7798
2016-12-21,1067,244,823,1633150,606270,2239420,572,71,643
2023-08-16,202521,81963,120558,192187848,112447121,304634969,65853,12789,78642
2025-12-21,267488,39370,228118,475247417,54905718,530153135,37512,1007,38519
2020-11-04,123886,63007,60879,71520607,72893993,144414600,29275,12100,41375
2020-02-06,132567,51471,81096,20296936,63940355,84237291,64543,7649,72192
2016-12-22,1036,190,846,1277240,438892,1716132,611,50,661
2026-01-15,249702,32372,217330,439964003,61888100,501852103,25783,616,26399
2017-08-08,2185,830,1355,1943550,2811801,4755351,985,139,1124
2015-01-26,75,13,62,410350,43250,453600,2,0,2
2021-09-25,132823,64047,68776,74554314,69684411,144238725,30916,11169,42085
2024-07-17,210676,61959,148717,215633996,90531680,306165676,65639,8630,74269
2024-04-26,184708,58532,126176,193407115,87085656,280492771,59094,8489,67583
2016-12-09,1354,200,1154,765670,315950,1081620,1006,71,1077
2024-05-02,232056,78461,153595,226651097,110673484,337324581,74591,10555,85146
2023-02-05,143448,66234,77214,136219688,90720503,226940191,52864,12799,65663
2017-12-26,1605,1021,584,1727000,6403129,8130129,450,112,562
2017-10-07,2263,1173,1090,2245872,5395969,7641841,922,171,1093
2019-09-25,64528,36934,27594,11879533,57940827,69820360,19943,8865,28808
2024-04-19,175461,57276,118185,183555325,82085260,265640585,73709,9952,83661
2018-01-28,986,623,363,1181900,6703299,7885199,290,84,374
2019-11-20,82314,44334,37980,18299243,60628149,78927392,29828,11758,41586
2017-03-17,1037,259,778,988899,507350,1496249,456,56,512
2017-06-05,1746,966,780,1358050,5828830,7186880,589,114,703
2019-09-26,61105,36312,24793,11329309,52809816,64139125,17038,7809,24847
2015-02-15,89,34,55,318900,109300,428200,2,0,2
2019-11-26,94377,48408,45969,21187245,69294672,90481917,37982,13405,51387
2017-06-24,1797,1178,619,2066727,7901806,9968533,484,128,612
2022-09-26,145347,71766,73581,108822478,82740899,191563377,39471,10812,50283
2024-02-01,195761,72840,122921,178464670,115626650,294091320,53549,8934,62483
2016-09-14,851,72,779,687750,213369,901119,551,22,573
2025-05-17,295649,77265,218384,440333242,122568553,562901795,118237,6669,124906
2024-06-04,155543,49435,106108,172222581,85054090,257276671,57259,7686,64945
2021-07-13,142102,67760,74342,67397280,113769361,181166641,30608,13191,43799
2022-01-27,125547,65227,60320,81815714,79130468,160946182,31773,9564,41337
2021-06-15,108479,51219,57260,62662925,72243605,134906530,28607,13740,42347
2023-10-30,188268,71775,116493,190731233,101766856,292498089,61475,11075,72550
2017-09-28,2357,1296,1061,2373224,3588185,5961409,860,150,1010
2021-02-20,118470,65229,53241,62385263,79014675,141399938,26565,10172,36737
2018-01-10,11570,8373,3197,8709284,11617002,20326286,2805,843,3648
2022-08-09,118315,60884,57431,86592095,80546878,167138973,32248,8861,41109
2018-12-14,21048,17255,3793,6944655,34214835,41159490,1665,907,2572
2015-01-09,137,30,107,852650,282200,1134850,7,0,7
2022-11-04,147741,71256,76485,142541004,119058635,261599639,45199,11134,56333
2022-01-04,137444,66740,70704,88853605,90348910,179202515,24777,7912,32689
2022-03-07,136830,73319,63511,87003622,115221623,202225245,32725,9840,42565
2017-06-27,1739,1022,717,1446150,5011802,6457952,569,161,730
2023-05-14,152371,63445,88926,142106773,87118814,229225587,54229,11551,65780
2022-04-13,131961,65366,66595,89895636,96842110,186737746,37200,11129,48329
2021-03-12,120241,64035,56206,68818585,90386445,159205030,27634,10276,37910
2019-05-08,35968,26428,9540,8398336,32777036,41175372,6530,3031,9561
2017-10-08,866,471,395,1040300,1802300,2842600,304,35,339
2020-06-06,126482,54730,71752,87238072,57081556,144319628,16175,8865,25040
2025-11-27,323364,50949,272415,519976717,88710663,608687380,54297,1915,56212
2020-05-29,118005,51157,66848,72806940,45308054,118114994,16956,8965,25921
2020-09-14,135908,63778,72130,78598302,61975184,140573486,19905,8778,28683
2018-09-17,17394,13553,3841,3506750,18998964,22505714,2478,765,3243
2019-09-08,60917,29267,31650,9033470,39752963,48786433,26922,7027,33949
2022-04-02,130721,68334,62387,81985305,93562191,175547496,31718,9808,41526
2020-06-05,121733,51648,70085,82443155,53721299,136164454,13992,7930,21922
2020-12-28,107341,56350,50991,65276688,69075368,134352056,25633,8568,34201
2016-04-03,703,82,621,396075,82450,478525,463,32,495
2019-11-13,80566,42925,37641,20639280,61008115,81647395,30596,10950,41546
2017-09-08,1583,820,763,1599700,5054146,6653846,586,81,667
2025-08-06,292681,66729,225952,470319017,124364385,594683402,119485,4819,124304
2016-11-03,643,56,587,703500,189546,893046,486,4,490
2018-01-25,1847,1261,586,3427081,11408120,14835201,346,146,492
2017-05-07,474,180,294,537200,572525,1109725,148,17,165
2016-12-18,770,137,633,749200,192090,941290,507,22,529
2017-02-05,612,92,520,867920,142150,1010070,385,24,409
2017-04-01,967,257,710,31478850,734210,32213060,351,28,379
2019-05-07,28423,22165,6258,6465945,27935583,34401528,3794,2882,6676
2019-01-02,30209,25622,4587,6796646,35513707,42310353,3788,2350,6138
2023-03-08,139018,59058,79960,130414860,80729315,211144175,42582,9695,52277
2024-09-23,239364,74093,165271,273100245,104833641,377933886,77032,9468,86500
2016-06-03,1276,100,1176,1514640,287273,1801913,849,15,864
2019-02-17,17441,14841,2600,3150425,22642188,25792613,1389,1631,3020
2016-09-18,422,50,372,294200,102400,396600,227,10,237
2021-02-15,110102,59738,50364,53966817,63935403,117902220,25396,9378,34774
2021-09-13,114015,54220,59795,60208941,62269573,122478514,29248,9486,38734
2025-04-27,260751,67144,193607,329033574,82079781,411113355,103845,5827,109672
2017-06-18,370,144,226,982852,1410500,2393352,146,10,156
2025-08-22,278109,61225,216884,439861697,109608169,549469866,115734,5004,120738
2020-03-08,132866,51428,81438,17639105,54508482,72147587,65932,10441,76373
2022-09-04,117906,59732,58174,88824890,77014195,165839085,37387,9223,46610
2021-12-23,131709,61240,70469,93833135,81554123,175387258,20145,7439,27584
2020-06-29,124327,54590,69737,70896862,52193873,123090735,20399,8386,28785
2018-08-19,10339,8753,1586,1896111,15951031,17847142,852,282,1134
2021-01-23,106238,59450,46788,56888622,71134663,128023285,22459,9417,31876
2018-05-20,5163,3888,1275,1710050,8446977,10157027,624,147,771
2020-03-15,158270,73249,85021,123623217,90799726,214422943,28748,15227,43975
2018-06-28,14284,9983,4301,20121948,20222782,40344730,700,314,1014
2025-05-30,253201,62984,190217,389368912,97589728,486958640,108009,5616,113625
2022-09-19,154703,76747,77956,118723353,97897534,216620887,43575,11344,54919
2015-08-10,93,23,70,526169,110600,636769,1,0,1
2024-01-09,203733,71489,132244,203916385,119239998,323156383,64380,10811,75191
2020-03-23,97574,43672,53902,76042055,48232757,124274812,15176,8517,23693
2024-10-23,261278,80709,180569,327116150,143586225,470702375,88632,9367,97999
2024-04-04,235750,79291,156459,238739113,123081861,361820974,83143,11614,94757
2020-04-09,63886,27979,35907,43785700,24972876,68758576,14871,5456,20327
2024-07-12,241900,73697,168203,265568788,111629689,377198477,92177,10312,102489
2022-09-22,141763,74145,67618,107290609,101815499,209106108,37186,9823,47009
2022-06-06,134186,71177,63009,97966273,100011960,197978233,41084,11161,52245
2025-04-12,265284,69608,195676,392126933,98542718,490669651,113533,6615,120148
2023-03-01,189495,87505,101990,171134177,168336200,339470377,63575,14399,77974
2016-07-14,1026,84,942,1219700,359050,1578750,656,13,669
2024-06-18,223850,71429,152421,226705583,105661967,332367550,74898,8871,83769
2015-03-10,136,35,101,734350,163160,897510,5,2,7
2019-01-03,23243,21049,2194,5150324,35357655,40507979,1567,1989,3556
2025-09-02,236448,52950,183498,371783788,99385404,471169192,93521,3372,96893
2015-10-01,1217,47,1170,1088670,138190,1226860,983,11,994
2021-08-30,129560,60223,69337,57854956,50439765,108294721,27607,9113,36720
2015-09-06,42,13,29,241150,48650,289800,1,0,1
2021-06-13,97502,42736,54766,53516949,47478860,100995809,25485,11505,36990
2024-12-31,173951,51576,122375,220199376,84196520,304395896,65599,5642,71241
2024-03-10,200435,72180,128255,170776298,97101454,267877752,60687,9010,69697
2025-02-26,240411,64078,176333,322910687,89238122,412148809,102154,6940,109094
2024-10-08,243070,74666,168404,288551903,130441618,418993521,87641,8724,96365
2018-06-29,13879,9330,4549,31142312,21755309,52897621,956,303,1259
2024-04-03,224668,79167,145501,216061500,119529082,335590582,72489,10403,82892
2020-02-07,152391,56010,96381,22818452,61247111,84065563,75037,6846,81883
2017-07-15,2313,1372,941,1953880,5436191,7390071,736,167,903
2023-04-29,165254,71714,93540,163534998,99373635,262908633,59049,12644,71693
2021-11-30,133537,60153,73384,90210804,64028858,154239662,24743,8184,32927
2022-12-24,131684,66772,64912,109919692,93642179,203561871,36502,10412,46914
2020-07-30,124072,57431,66641,74024805,56068102,130092907,36032,8589,44621
2024-02-14,212039,74157,137882,202928918,104221954,307150872,68570,10247,78817
2023-07-29,190051,76299,113752,164633516,91637412,256270928,60161,12090,72251
2024-08-04,205533,65895,139638,191768234,84769102,276537336,62316,6956,69272
2022-09-27,148904,73743,75161,114242221,99049980,213292201,41019,10618,51637
2020-05-22,105012,44791,60221,72583420,40506309,113089729,15766,7569,23335
2022-07-22,127987,66768,61219,105198203,91560397,196758600,37258,9875,47133
2016-08-06,1447,91,1356,732100,215550,947650,1091,5,1096
2021-11-10,112401,54355,58046,78049044,79372428,157421472,34365,10904,45269
2021-06-23,141048,64682,76366,74446413,77072435,151518848,32845,14032,46877
2017-05-26,1474,699,775,1280650,1999075,3279725,526,64,590
2025-03-31,246623,64841,181782,340014084,88966583,428980667,97552,5451,103003
2024-12-20,259021,74433,184588,382285826,125277799,507563625,102860,8841,111701
2020-07-10,127480,54530,72950,72963253,58048436,131011689,21926,7537,29463
2024-01-21,165433,59655,105778,151006044,79862747,230868791,48215,8161,56376
2016-06-17,1067,142,925,1095900,221800,1317700,677,15,692
2019-08-10,98436,69331,29105,18189821,46725505,64915326,8773,5976,14749
2016-11-28,738,161,577,875508,295375,1170883,399,15,414
2022-06-25,117909,60783,57126,101611760,93908705,195520465,43747,11946,55693
2015-12-26,940,110,830,814000,84069,898069,771,66,837
2016-12-15,1425,294,1131,1365600,478245,1843845,901,49,950
2019-09-21,68546,36176,32370,10724807,53567337,64292144,24770,7779,32549
2024-04-11,199840,64730,135110,193338955,83447483,276786438,69701,9078,78779
2015-12-17,862,100,762,1009720,159960,1169680,658,37,695
2015-04-08,125,39,86,559220,253410,812630,2,0,2
2023-10-13,200508,79348,121160,197252168,126265949,323518117,54771,10833,65604
2024-12-11,259177,79891,179286,343829524,138202545,482032069,102548,8950,111498
2022-09-01,124177,64382,59795,93376821,100861906,194238727,33151,9329,42480
2020-12-12,75497,39795,35702,54865113,72769215,127634328,22198,7581,29779
2017-03-18,1169,262,907,1058260,977950,2036210,548,64,612
2021-08-02,128388,64691,63697,63390458,67982309,131372767,29460,13832,43292
2019-10-23,56389,37865,18524,15395149,60125218,75520367,11742,10615,22357
2021-01-28,109304,60043,49261,71289368,84213601,155502969,24507,9300,33807
2024-07-31,190247,60385,129862,182335746,87721251,270056997,56475,6451,62926
2022-02-05,122630,66742,55888,73172606,84676586,157849192,29952,9286,39238
2015-01-04,116,27,89,967350,301600,1268950,3,2,5
2015-01-15,116,30,86,650400,148100,798500,1,0,1
2021-06-17,116921,54926,61995,62874950,67357706,130232656,29835,13373,43208
2025-01-31,265387,78456,186931,340146605,107194370,447340975,98305,8287,106592
2019-11-27,94593,47989,46604,19639448,62252851,81892299,38301,13104,51405
2020-08-18,123192,59030,64162,74891487,66929197,141820684,34575,12008,46583
2017-11-16,2273,1181,1092,2687204,4692312,7379516,878,100,978
2020-05-28,109330,47012,62318,73027440,45520644,118548084,14522,8288,22810
2023-07-16,184222,75843,108379,148786176,84637321,233423497,52041,10412,62453
2018-11-01,22318,18465,3853,4594137,43809242,48403379,2053,650,2703
2023-04-26,177823,78027,99796,169848798,124318920,294167718,61868,12825,74693
2020-04-01,49376,21468,27908,32646450,20009195,52655645,10173,5357,15530
2025-08-21,268357,60773,207584,434754748,112013319,546768067,110652,4561,115213
2018-08-22,12374,10455,1919,3229624,19461877,22691501,815,436,1251
2022-05-28,137791,70154,67637,105985635,92441700,198427335,45874,12641,58515
2017-08-20,1146,356,790,887300,1929715,2817015,580,72,652
2016-05-05,1564,165,1399,1135190,405690,1540880,1070,55,1125
2015-03-31,96,26,70,383800,104300,488100,1,0,1
2026-01-31,253134,38090,215044,408853455,51144369,459997824,16837,377,17214
2023-07-04,200159,79854,120305,199721452,126350917,326072369,65457,13319,78776
2022-01-15,110001,53667,56334,66480134,68095828,134575962,29196,7432,36628
2017-12-24,709,419,290,1132200,3794710,4926910,202,42,244
2019-02-22,26432,22454,3978,6756997,38039874,44796871,2394,2012,4406
2016-03-27,606,87,519,677649,143500,821149,355,22,377
2015-10-13,1352,65,1287,793450,128050,921500,1218,5,1223
2021-06-19,145290,63072,82218,65958961,67395269,133354230,28624,12952,41576
2018-11-28,27207,21117,6090,7970838,28965085,36935923,3279,1100,4379
2018-04-04,14138,10412,3726,9354450,10917985,20272435,3355,1327,4682
2025-12-06,269462,46951,222511,447472767,81701319,529174086,39063,1703,40766
2026-01-01,237939,31780,206159,391863523,49982392,441845915,30234,789,31023
2017-05-19,2029,1096,933,1744340,3754512,5498852,738,153,891
2024-03-29,235547,80115,155432,227528178,109357496,336885674,72274,10963,83237
2015-10-03,1157,32,1125,729760,76400,806160,1063,3,1066
2025-09-24,258041,53529,204512,397886847,100773420,498660267,100264,3058,103322
2020-10-01,122916,62406,60510,66093909,65740048,131833957,29056,11263,40319
2023-09-25,197722,76454,121268,180930641,102961948,283892589,65686,12167,77853
2025-10-07,262912,54212,208700,395557053,105491991,501049044,95381,3030,98411
2016-08-16,1324,112,1212,995100,160524,1155624,1019,5,1024
2017-10-06,1688,641,1047,1712771,2219616,3932387,874,72,946
2024-02-08,214824,75954,138870,206908908,124754520,331663428,55797,10372,66169
2019-08-12,87392,59620,27772,12317050,25714881,38031931,5898,4064,9962
2018-12-28,21625,18879,2746,4281482,31876832,36158314,1907,1269,3176
2017-10-01,385,129,256,668350,724500,1392850,168,16,184
2023-10-31,194911,75565,119346,191114289,103131265,294245554,57298,10639,67937
2021-08-22,106507,43422,63085,46549609,34768973,81318582,24373,8203,32576
2019-11-25,84728,49416,35312,20687932,57511369,78199301,27809,14001,41810
2023-03-18,177369,81678,95691,180393516,142783631,323177147,54914,13082,67996
2022-03-14,142052,74561,67491,100034642,111949421,211984063,30810,9925,40735
2024-04-14,184113,60182,123931,169762963,67619547,237382510,64648,8818,73466
2017-10-14,2818,1457,1361,2358150,6429006,8787156,1175,187,1362
2016-01-08,1081,135,946,903555,272090,1175645,686,53,739
2023-03-12,165132,72050,93082,151779050,108319201,260098251,60307,13553,73860
2022-07-08,131042,67421,63621,99340296,93244749,192585045,34086,10560,44646
2019-02-09,24624,20734,3890,4729417,29609538,34338955,2400,2363,4763
2023-02-17,168678,76454,92224,175558669,129918352,305477021,57994,13490,71484
2023-10-01,173232,67305,105927,150224413,85368526,235592939,55443,10499,65942
2024-05-19,188899,64754,124145,174673187,77490435,252163622,54179,7397,61576
2025-06-28,266857,66037,200820,370335653,93797147,464132800,105073,5364,110437
2018-11-14,29662,21824,7838,14268660,26180589,40449249,4314,1331,5645
2019-09-14,76206,40290,35916,12149670,50465812,62615482,27237,8223,35460
2016-02-10,1704,177,1527,914000,338010,1252010,1147,66,1213
2019-02-28,29266,24585,4681,8162334,42290783,50453117,2809,2379,5188
2022-12-19,132845,67751,65094,116404997,98023246,214428243,37403,10319,47722
2019-07-31,92092,68981,23111,20602301,46839314,67441615,10627,8708,19335
2023-07-05,198487,78999,119488,203501253,127406482,330907735,66994,13359,80353
2018-01-13,1846,1111,735,2779700,12047226,14826926,554,220,774
2024-10-14,231939,68151,163788,283667824,105116081,388783905,92851,9337,102188
2017-09-07,1971,969,1002,1798534,5472384,7270918,770,93,863
2019-11-10,60509,27577,32932,7475107,36589754,44064861,28120,7022,35142
2025-09-13,272165,61615,210550,403744696,90464305,494209001,93322,3481,96803
2022-06-27,133365,66518,66847,104202439,82500586,186703025,45533,11467,57000
2025-08-16,233623,52570,181053,355751786,70784539,426536325,93463,3910,97373
2017-07-20,2110,1077,1033,2060761,3975607,6036368,786,148,934
2018-04-09,4101,3056,1045,2354899,11658696,14013595,807,154,961
2021-08-03,133165,68215,64950,72008797,83010377,155019174,30519,14226,44745
2021-08-24,116264,57209,59055,63352866,69347889,132700755,29253,9971,39224
2016-06-21,916,132,784,950300,355340,1305640,520,11,531
2022-01-21,123257,61859,61398,74058376,82266617,156324993,30135,8380,38515
2017-07-17,2282,1312,970,2067700,4539970,6607670,737,161,898
2024-03-24,191494,64478,127016,171570101,72135087,243705188,64684,9051,73735
2019-09-27,58425,35368,23057,13215002,53787364,67002366,15761,8387,24148
2015-08-25,86,39,47,300700,213400,514100,0,1,1
2022-10-19,152248,77175,75073,121838075,117170816,239008891,43237,10738,53975
2024-05-29,199523,66649,132874,214685050,105047822,319732872,66492,9136,75628
2015-06-19,79,17,62,514590,132355,646945,6,0,6
2025-05-31,251815,63535,188280,365892936,87652169,453545105,101986,5324,107310
2018-09-03,13508,10950,2558,2273255,16211254,18484509,1522,334,1856
2016-12-06,1011,120,891,871150,187300,1058450,697,19,716
2018-06-18,10308,8635,1673,4175700,12210600,16386300,881,261,1142
2019-05-18,39585,29563,10022,7946172,30585938,38532110,4313,3011,7324
2015-11-16,812,69,743,565449,50370,615819,686,17,703
2025-05-10,261056,69771,191285,349862077,96274099,446136176,110281,5592,115873
2023-03-31,160973,69267,91706,158045321,103936293,261981614,54302,12068,66370
2024-03-28,233365,81421,151944,236824088,116241532,353065620,77143,11370,88513
2022-11-27,137396,60351,77045,117299529,73599310,190898839,54450,12077,66527
2021-04-19,127569,57355,70214,59851911,58087389,117939300,9967,7796,17763
2018-07-18,20270,13690,6580,16180439,18708729,34889168,4103,1116,5219
2015-09-08,124,31,93,634447,148560,783007,4,0,4
2018-03-10,2796,2330,466,1829174,10589200,12418374,309,104,413
2020-01-14,119145,46820,72325,16260960,53408189,69669149,59090,12262,71352
2023-08-03,213583,86879,126704,196902190,249797966,446700156,67453,13366,80819
2019-06-04,47470,33725,13745,15163889,39572922,54736811,5071,3587,8658
2018-06-21,10467,8408,2059,9100184,19468756,28568940,698,196,894
2016-07-16,928,64,864,1099100,318650,1417750,607,2,609
2020-05-04,83308,38212,45096,46450806,28832007,75282813,16517,7960,24477
2021-04-29,101920,42286,59634,57410128,39715787,97125915,21017,6682,27699
2020-10-13,121306,61425,59881,70572955,78572956,149145911,29966,10362,40328
2015-10-06,1311,34,1277,1163240,116750,1279990,1202,10,1212
2016-04-11,1562,187,1375,1003900,244200,1248100,983,69,1052
2025-07-06,217945,48880,169065,301069364,68244341,369313705,105333,4605,109938
2025-06-29,245247,59340,185907,314657065,72379600,387036665,100583,5044,105627
2015-09-09,114,36,78,549150,152790,701940,2,2,4
2022-11-10,146205,70070,76135,141084756,120356049,261440805,53579,12601,66180
2023-11-20,200455,67484,132971,200301209,93559627,293860836,73046,11902,84948
2015-06-20,118,30,88,779800,104150,883950,12,2,14
2023-03-16,187010,85141,101869,195272607,151382472,346655079,61724,13898,75622
2016-01-04,777,108,669,625480,252755,878235,478,31,509
2018-12-09,13301,11271,2030,2253453,18111724,20365177,935,331,1266
2020-07-15,123162,54252,68910,67918185,59239268,127157453,40122,8066,48188
2018-07-06,12529,9287,3242,13315455,18388498,31703953,1068,304,1372
2020-03-20,151376,63333,88043,131180169,82751353,213931522,17718,7128,24846
2017-06-30,1966,1305,661,1903150,5546413,7449563,548,184,732
2024-04-16,211004,67728,143276,215519847,93117711,308637558,79259,10439,89698
2017-01-21,939,243,696,1161550,503100,1664650,504,64,568
2018-01-14,1564,1119,445,2826800,12126160,14952960,380,265,645
2020-01-13,98706,45678,53028,16090963,46871263,62962226,40394,11017,51411
2016-02-17,1797,210,1587,985200,485200,1470400,1157,65,1222
2024-09-15,203380,59220,144160,216311277,78500763,294812040,83112,8390,91502
2023-10-23,173744,65381,108363,160556424,74384337,234940761,54529,10455,64984
2023-02-23,172413,80526,91887,178319229,135957605,314276834,57152,14128,71280
2015-12-28,960,112,848,786475,157500,943975,749,20,769
2018-04-05,4156,3198,958,2025300,11315884,13341184,735,143,878
2018-02-28,9391,6504,2887,7580900,7716168,15297068,2599,614,3213
2020-03-28,38587,16306,22281,28588690,16198240,44786930,6550,3588,10138
2025-07-05,256474,60093,196381,380684891,100326588,481011479,118908,5430,124338
2018-04-19,4821,3880,941,2156200,11829301,13985501,695,156,851
2023-11-07,233248,80814,152434,268609874,135062351,403672225,89256,14383,103639
2025-09-21,240182,55137,185045,343299833,67051201,410351034,88162,3108,91270
2023-07-03,212541,86624,125917,197526777,117042580,314569357,68007,13558,81565
2015-09-22,57,18,39,308300,78825,387125,4,0,4
2016-11-02,696,50,646,652500,64500,717000,563,19,582
2025-02-21,282769,83941,198828,374365414,137973964,512339378,113207,7780,120987
2015-08-17,73,20,53,309300,90300,399600,0,1,1
2024-06-19,228091,73985,154106,240535402,121937766,362473168,80214,9572,89786
2021-12-30,118491,57503,60988,82355798,68433077,150788875,19942,7287,27229
2022-08-20,140550,71187,69363,108999172,90914829,199914001,37018,10452,47470
2022-10-11,143195,74444,68751,105171880,103897326,209069206,40207,10465,50672
2023-10-03,198354,78126,120228,183528455,114621975,298150430,63107,12088,75195
