date,totalChallan,disposedChallan,pendingChallan,pendingAmount,disposedAmount,totalAmount,pendingCourt,disposedCourt,totalCourt
2017-07-13,2206,1228,978,2063150,6608948,8672098,743,175,918
2016-03-17,1479,166,1313,965600,243010,1208610,1010,63,1073
2023-11-24,208810,75204,133606,223746542,115445217,339191759,74227,12309,86536
2017-02-09,756,143,613,1009250,405450,1414700,390,19,409
2024-05-14,203640,68581,135059,217983897,106844023,324827920,68388,9318,77706
2021-10-21,119047,58572,60475,74962594,72341421,147304015,29597,9591,39188
2018-12-12,27004,20647,6357,9337920,35669047,45006967,3921,1139,5060
2015-03-11,131,43,88,760160,288000,1048160,3,0,3
2022-08-18,140575,71472,69103,109308615,114126766,223435381,38608,11547,50155
2022-06-12,121249,60143,61106,86607459,70306531,156913990,42043,10923,52966
2023-05-20,188824,80150,108674,178791563,116464372,295255935,68639,14569,83208
2021-04-05,78118,40959,37159,62922970,64517604,127440574,29551,12022,41573
2024-05-27,205285,67925,137360,206238465,92894403,299132868,67927,8788,76715
2018-05-31,14882,13060,1822,3240140,13495652,16735792,1146,227,1373
2017-01-15,767,124,643,652750,211160,863910,501,45,546
2015-08-26,54,9,45,332000,62000,394000,0,0,0
2015-10-24,506,15,491,239300,39150,278450,461,3,464
2025-04-15,284714,75573,209141,431612400,111448540,543060940,129312,7301,136613
2019-11-03,55726,32957,22769,11686665,42520550,54207215,15881,7692,23573
2021-12-09,125931,60040,65891,93914894,82511769,176426663,21036,7655,28691
2015-11-24,626,63,563,416100,107290,523390,508,12,520
2019-05-22,38259,28755,9504,9927752,36544578,46472330,4002,3386,7388
2025-11-01,257010,53065,203945,384228877,90069079,474297956,90698,2263,92961
2016-09-25,804,48,756,759900,110500,870400,567,1,568
2017-04-07,1542,349,1193,1179590,1152402,2331992,762,40,802
2025-06-22,254586,58515,196071,338554374,73846657,412401031,110830,5429,116259
2020-07-05,94156,38000,56156,67012830,48851396,115864226,17867,5837,23704
2021-05-01,79938,31473,48465,53752420,34770988,88523408,23508,6598,30106
2020-02-17,150879,61000,89879,23354464,59839115,83193579,67660,11718,79378
2019-08-20,111421,80367,31054,19585145,60285389,79870534,9101,8366,17467
2020-08-11,101948,51975,49973,45858227,57081176,102939403,22942,8877,31819
2016-07-01,1057,52,1005,998150,154500,1152650,739,2,741
2025-12-19,294971,45944,249027,534912879,85649663,620562542,40767,1184,41951
2021-11-17,125039,61948,63091,94841382,90074220,184915602,33963,11115,45078
2024-11-04,267975,76293,191682,360534990,114891565,475426555,108495,9528,118023
2019-02-02,26992,22670,4322,6718908,38844085,45562993,2466,2537,5003
2021-07-05,141111,67705,73406,72372874,69699211,142072085,33193,14542,47735
2015-05-30,105,44,61,302800,242100,544900,2,1,3
2016-10-19,934,92,842,1214250,324250,1538500,695,12,707
2024-10-01,221005,68019,152986,245216897,108075719,353292616,84855,9377,94232
2016-12-20,1203,235,968,1790600,751583,2542183,722,71,793
2015-05-18,135,28,107,812548,96850,909398,3,1,4
2020-11-10,139932,68261,71671,92726912,78717883,171444795,34784,13121,47905
2019-12-12,99962,42015,57947,17717918,54340528,72058446,48523,10517,59040
2021-02-28,96880,51575,45305,55095714,59172982,114268696,24258,8989,33247
2016-08-10,1684,112,1572,1175475,356500,1531975,1238,5,1243
2021-12-21,129645,61375,68270,89323089,75218714,164541803,20594,7640,28234
2023-06-29,197541,75854,121687,180788550,82949528,263738078,60591,11605,72196
2025-06-27,260258,61566,198692,380226534,100541631,480768165,105178,5333,110511
2025-01-21,272720,81894,190826,333456393,127452886,460909279,105587,8046,113633
2022-05-27,136208,70312,65896,108709553,102157068,210866621,44689,12284,56973
2025-10-11,275546,55180,220366,423093276,79595219,502688495,98326,3582,101908
2023-04-07,186410,81548,104862,178062432,113499907,291562339,62882,14102,76984
2020-11-19,134338,66494,67844,85626638,76088783,161715421,32199,12117,44316
2024-10-21,249975,76672,173303,298032743,122842065,420874808,84293,8648,92941
2019-12-28,94077,32875,61202,14375602,48630822,63006424,55080,7948,63028
2021-08-04,137367,70159,67208,74020504,86016513,160037017,31588,14176,45764
2016-04-20,1338,132,1206,1052750,295201,1347951,906,54,960
2015-08-22,62,17,45,308446,44400,352846,1,0,1
2018-12-27,20707,17913,2794,5493529,33135681,38629210,1860,1059,2919
2023-08-11,200888,84424,116464,184905441,131372638,316278079,64184,13157,77341
2021-11-03,101670,46986,54684,65731733,49464448,115196181,29046,9806,38852
2017-04-27,1664,652,1012,1028200,1663652,2691852,623,98,721
2018-07-23,14254,9861,4393,8025418,13332645,21358063,1056,503,1559
2016-12-11,631,93,538,521600,145290,666890,412,27,439
2016-04-05,1667,186,1481,1637440,184740,1822180,1147,63,1210
2021-07-10,141609,69484,72125,66209373,72185009,138394382,27931,13369,41300
2016-02-24,1561,170,1391,1327851,203650,1531501,1023,52,1075
2024-11-25,287667,80721,206946,359705257,127361618,487066875,115998,9893,125891
2025-08-24,231341,51002,180339,310837445,68436142,379273587,89487,3802,93289
2016-11-17,662,100,562,710350,266210,976560,385,22,407
2015-01-16,148,27,121,555800,53800,609600,1,1,2
2025-01-17,274379,80777,193602,352122864,127542335,479665199,110256,8341,118597
2021-11-05,105421,46507,58914,53408275,41240041,94648316,23806,8076,31882
2015-07-16,113,29,84,959300,257300,1216600,2,0,2
2023-03-11,176538,81973,94565,165968771,134205345,300174116,62324,14533,76857
2026-01-17,267745,38563,229182,427273450,67055656,494329106,22775,556,23331
2017-11-08,2904,1886,1018,2516525,6724909,9241434,805,209,1014
2016-11-22,672,110,562,1054450,285560,1340010,354,21,375
2025-09-18,283059,60772,222287,438562341,104141820,542704161,108041,3738,111779
2020-12-21,111447,59228,52219,74243809,74731244,148975053,26412,8578,34990
2022-05-18,130510,65303,65207,96274534,106525512,202800046,37460,10399,47859
2018-01-12,2297,1419,878,4294900,13267621,17562521,639,155,794
2021-04-17,133407,59511,73896,66207625,64987445,131195070,20361,8029,28390
2017-05-18,2026,1034,992,1901904,3075652,4977556,801,131,932
2025-04-19,279791,71813,207978,391032389,104547886,495580275,116914,5993,122907
2020-02-15,147275,56576,90699,20730617,60611623,81342240,71209,10943,82152
2024-08-16,245648,74988,170660,272434033,114038988,386473021,91968,9626,101594
2018-03-22,3721,2890,831,2535301,11381536,13916837,576,154,730
2021-05-27,75982,34149,41833,47996402,52671925,100668327,20353,7429,27782
2020-12-16,107096,55409,51687,68877712,72801697,141679409,26495,8516,35011
2018-08-27,13274,11103,2171,3258642,14873986,18132628,908,356,1264
2025-11-04,283882,52773,231109,449569806,109057163,558626969,91998,2377,94375
2019-09-04,82278,38030,44248,17453783,57277652,74731435,39181,8325,47506
2023-06-12,201501,85164,116337,186514576,116777431,303292007,66002,13684,79686
2021-08-09,131207,65564,65643,64886847,72580674,137467521,29530,12726,42256
2019-08-18,90433,63095,27338,14083950,32401875,46485825,6687,5380,12067
2023-02-11,159587,73859,85728,140700772,110205067,250905839,51387,12805,64192
2022-03-10,128851,70254,58597,78352964,108761916,187114880,26456,8240,34696
2019-12-18,102916,43646,59270,15988061,56910717,72898778,49207,10799,60006
2021-11-04,67907,28766,39141,44240538,26657101,70897639,22105,6632,28737
2023-10-04,203901,80489,123412,202492380,130483107,332975487,63040,12061,75101
2021-06-07,104086,46241,57845,57493241,61437211,118930452,28046,11122,39168
2024-10-10,245970,76780,169190,287314376,129109117,416423493,93165,9215,102380
2016-08-31,914,78,836,727900,300350,1028250,637,13,650
2022-07-20,133743,68126,65617,102932932,99848272,202781204,38307,10393,48700
2015-05-27,111,33,78,715150,209300,924450,2,0,2
2021-04-26,110029,45788,64241,60675740,44390855,105066595,24704,7498,32202
2022-05-24,129816,68344,61472,108467770,102472774,210940544,42671,12265,54936
2019-08-19,108997,76146,32851,21155292,51390195,72545487,9164,7639,16803
2019-08-15,63886,37490,26396,10606532,19696548,30303080,4838,2537,7375
2016-07-25,1049,67,982,1112700,260300,1373000,727,13,740
2024-03-06,224359,82036,142323,222441679,155549096,377990775,71103,9926,81029
2020-04-20,107714,52010,55704,58049925,43822132,101872057,31172,12470,43642
2025-11-14,319788,53214,266574,528062547,95429464,623492011,94661,2411,97072
2024-05-31,198148,66115,132033,214651765,98421744,313073509,63790,8835,72625
2024-04-05,232486,77687,154799,232461342,113442285,345903627,77276,10626,87902
2023-12-22,210777,74759,136018,221314320,115144897,336459217,62625,11356,73981
2019-10-05,52614,35094,17520,11811611,51884367,63695978,10750,8514,19264
2022-07-09,126558,62988,63570,95973885,80291393,176265278,32639,10100,42739
2024-10-07,250608,75651,174957,288423193,126105881,414529074,89876,9562,99438
2017-08-11,2455,1150,1305,2066500,5975755,8042255,988,206,1194
2019-02-27,33703,26792,6911,10684383,40399270,51083653,5205,2564,7769
2019-05-14,36206,28106,8100,8512640,42120675,50633315,3864,2690,6554
2017-05-15,1441,574,867,1248000,1778255,3026255,674,82,756
2020-05-10,71075,30983,40092,40980085,23974234,64954319,13914,6126,20040
2016-10-29,563,28,535,375050,57750,432800,443,0,443
2022-05-21,135056,69584,65472,98704415,99081341,197785756,42872,12132,55004
2021-11-25,120000,59222,60778,81726858,77510748,159237606,24734,8885,33619
2017-03-02,1059,275,784,1628500,697060,2325560,449,74,523
2024-01-16,187693,65603,122090,189769239,106113502,295882741,59370,9728,69098
2021-06-18,140453,61926,78527,67008453,71014105,138022558,29813,12724,42537
2017-05-27,1638,975,663,1164800,2521712,3686512,516,122,638
2020-07-16,126868,56006,70862,68921972,59897141,128819113,40457,7757,48214
2015-04-29,64,17,47,345200,96075,441275,2,0,2
2026-01-30,272162,40686,231476,431335616,67045636,498381252,16824,338,17162
2018-05-12,10300,7974,2326,2495850,11067930,13563780,1196,242,1438
2019-02-24,17294,14693,2601,2871225,22158812,25030037,1282,1192,2474
2022-03-18,106619,51597,55022,59971240,45179977,105151217,26363,6481,32844
2017-09-17,977,527,450,945300,3078706,4024006,348,70,418
2019-09-28,52509,32739,19770,13156065,44874488,58030553,13525,8295,21820
2024-07-20,254859,79252,175607,259417816,108643903,368061719,85917,9528,95445
2023-04-16,141787,61618,80169,125180246,77603150,202783396,49363,11027,60390
2025-12-10,288495,48279,240216,494344923,101313562,595658485,41538,1702,43240
2016-02-07,852,80,772,666350,138400,804750,579,27,606
2020-11-07,138539,68266,70273,81012030,75489264,156501294,32849,13471,46320
2018-06-09,8746,7562,1184,2963450,18340695,21304145,675,355,1030
2024-08-20,232573,69109,163464,246840286,98456701,345296987,84841,9202,94043
2023-02-20,171175,78212,92963,171024817,124234972,295259789,57415,13827,71242
2018-12-21,21784,18940,2844,5642271,76833133,82475404,1682,930,2612
2019-11-11,67393,35455,31938,13248506,59459752,72708258,25998,9220,35218
2025-01-25,272892,81776,191116,329928258,108615892,438544150,101421,8143,109564
2020-09-26,132421,66782,65639,69988223,66981765,136969988,31486,9209,40695
2020-12-24,117871,61232,56639,74774981,77287086,152062067,15579,8788,24367
2015-12-09,885,122,763,785300,285700,1071000,682,49,731
2017-06-09,1864,1031,833,1997060,6078943,8076003,655,106,761
2021-12-17,128851,61330,67521,93156236,82157195,175313431,21209,7549,28758
2021-05-31,88131,37982,50149,54773136,47444512,102217648,26676,9057,35733
2025-11-13,330124,55399,274725,536925663,99809765,636735428,95543,2414,97957
2015-01-02,162,39,123,663350,281425,944775,1,1,2
2015-11-01,635,65,570,338300,73500,411800,504,13,517
2019-01-15,20960,18410,2550,4982955,32225584,37208539,1423,1515,2938
2015-08-19,192,54,138,599350,121690,721040,2,1,3
2017-01-16,920,200,720,867151,358525,1225676,513,28,541
2024-04-15,220333,69584,150749,220915487,89602137,310517624,83777,10881,94658
2023-02-26,154108,66056,88052,148072812,86530558,234603370,54815,12968,67783
2015-03-25,125,28,97,771050,106838,877888,1,1,2
2021-01-07,115399,63964,51435,65771272,82767638,148538910,23760,9901,33661
2018-01-19,2466,1514,952,5143050,15226845,20369895,721,339,1060
2016-02-29,1268,100,1168,700330,227381,927711,841,46,887
2025-04-29,266284,67931,198353,379626413,99936596,479563009,97471,5806,103277
2025-09-30,227579,45709,181870,342687944,63290147,405978091,93172,2750,95922
2018-01-17,10854,7890,2964,9234525,13029546,22264071,2593,673,3266
2023-03-10,184784,82598,102186,173978125,131163680,305141805,66016,14152,80168
2016-03-16,1579,188,1391,1197396,377590,1574986,1050,51,1101
2025-03-16,248770,66980,181790,318062307,96052190,414114497,101043,6333,107376
2016-02-01,1298,128,1170,870425,164645,1035070,824,41,865
2016-03-05,1096,134,962,1137675,271300,1408975,674,40,714
2021-07-31,128358,64548,63810,63489670,65791153,129280823,26510,13250,39760
2017-12-10,863,466,397,541700,2660632,3202332,353,53,406
2019-04-26,33641,24906,8735,9065135,31777426,40842561,4957,2602,7559
2015-02-02,116,32,84,607850,145800,753650,6,0,6
2015-02-14,129,23,106,561350,55310,616660,3,0,3
2016-03-04,1450,168,1282,1159200,267090,1426290,969,27,996
2023-06-11,184869,76604,108265,160966726,90700764,251667490,58480,12118,70598
2023-07-08,177058,75665,101393,145936606,98250662,244187268,45131,9477,54608
2016-11-14,482,79,403,370850,330250,701100,275,11,286
2022-07-16,127244,66428,60816,93655651,95091320,188746971,33769,9747,43516
2025-06-20,289944,67482,222462,418351877,111512110,529863987,119000,6340,125340
2016-08-24,1521,88,1433,965000,381380,1346380,1151,9,1160
2018-03-13,3582,2755,827,3754215,14572266,18326481,595,171,766
2021-01-12,111458,61964,49494,70459713,86118776,156578489,24759,10569,35328
2017-01-05,894,157,737,1562351,441975,2004326,531,37,568
2022-04-30,130372,65545,64827,85001512,81445332,166446844,38240,11047,49287
2018-04-06,4007,3109,898,2574150,12211610,14785760,693,148,841
2020-08-21,113622,55458,58164,71070179,66748895,137819074,34108,12588,46696
2019-06-19,83242,63136,20106,20870092,59100911,79971003,8895,5496,14391
2025-11-02,252590,49480,203110,353203595,73079543,426283138,93383,1940,95323
2020-04-08,67083,29164,37919,46223800,26083253,72307053,17450,6478,23928
2024-11-02,243040,70716,172324,287555090,87015883,374570973,87949,8361,96310
2018-01-08,1900,1198,702,2625250,10294597,12919847,504,184,688
2024-08-25,210314,65385,144929,209893137,83862316,293755453,73383,8021,81404
2015-09-17,115,27,88,388980,138100,527080,1,1,2
2018-07-04,22496,15919,6577,20744607,17377150,38121757,3920,1104,5024
2023-01-27,151453,70629,80824,136171151,98200403,234371554,49290,12060,61350
2022-09-29,153425,75960,77465,110445958,92974831,203420789,43024,11091,54115
2019-12-01,76940,30379,46561,8944264,39688376,48632640,41227,8109,49336
2016-03-07,898,132,766,1232650,836200,2068850,522,39,561
2021-12-04,128411,61088,67323,87248657,85418458,172667115,17465,6847,24312
2025-10-22,222078,40002,182076,376857644,52946408,429804052,77205,2384,79589
2017-10-05,1002,295,707,1243750,1683792,2927542,569,52,621
2025-12-08,285634,47923,237711,497169517,90666272,587835789,40375,1509,41884
2023-05-02,167294,75129,92165,167694375,120837293,288531668,58769,11931,70700
2025-01-24,276803,81496,195307,355081555,120337825,475419380,104418,8261,112679
2016-06-19,411,61,350,601201,189300,790501,247,4,251
2018-09-09,10989,8511,2478,1540598,14229657,15770255,1681,360,2041
2022-10-01,149022,78376,70646,101669332,104598815,206268147,39290,10408,49698
2015-09-04,73,22,51,311000,153648,464648,5,0,5
2018-03-29,3591,2780,811,1564650,10902825,12467475,637,158,795
2015-12-27,667,94,573,483100,102627,585727,505,20,525
2020-09-11,120101,57820,62281,75952422,69243813,145196235,32270,10115,42385
2020-11-08,128224,61198,67026,78276135,61269322,139545457,33285,12873,46158
2025-06-30,267053,64302,202751,379475656,86919471,466395127,110449,5448,115897
2017-01-09,580,110,470,654000,243651,897651,288,24,312
2015-09-26,62,19,43,416149,62500,478649,0,2,2
2024-07-13,230660,73020,157640,244138412,107166464,351304876,83935,9470,93405
2020-04-03,52882,23503,29379,38787560,21453055,60240615,10451,5919,16370
2025-05-28,279714,67887,211827,414667894,109305378,523973272,120276,5909,126185
2025-02-14,272413,81446,190967,350601999,134627710,485229709,102973,7189,110162
2020-04-06,54417,22852,31565,38193461,21922493,60115954,14818,4481,19299
2016-08-13,700,64,636,453100,177800,630900,475,7,482
2018-05-27,4261,3404,857,1392523,6931680,8324203,486,137,623
2016-10-01,1181,72,1109,1283700,166950,1450650,906,8,914
2024-12-27,225594,72809,152785,220457143,105056542,325513685,72078,5401,77479
2015-05-22,62,20,42,358950,125899,484849,2,0,2
2022-01-20,123826,63198,60628,73000647,75014465,148015112,30216,8447,38663
2024-08-07,237687,76407,161280,262195043,133888155,396083198,77978,8274,86252
2015-11-15,497,57,440,381525,94600,476125,373,25,398
2015-07-06,130,34,96,731300,204220,935520,0,1,1
2023-01-22,134109,63188,70921,110062823,84857051,194919874,41498,10627,52125
2018-08-03,14681,11073,3608,10893085,21637393,32530478,1549,407,1956
2023-03-02,195411,90441,104970,184434317,176620801,361055118,65112,14342,79454
2017-03-25,1116,392,724,1003650,2702678,3706328,434,58,492
2022-01-29,121530,63385,58145,78336509,81163634,159500143,30860,8792,39652
2016-01-02,922,122,800,631630,280950,912580,555,17,572
2016-06-29,1180,74,1106,1206590,197600,1404190,827,3,830
2025-11-25,316243,47165,269078,503162213,75974785,579136998,51388,1930,53318
2020-04-15,75208,35242,39966,54528290,35896171,90424461,22667,6471,29138
2025-02-05,276780,83709,193071,330639462,135046461,465685923,114208,7867,122075
2025-10-28,233675,42929,190746,404111397,84388721,488500118,90834,2426,93260
2019-10-22,52395,35970,16425,11625457,59826618,71452075,10033,9946,19979
2021-12-03,130466,61719,68747,87677373,82171585,169848958,20521,7255,27776
2019-03-13,40010,30761,9249,9646563,43528416,53174979,6113,3147,9260
2023-09-06,187872,73265,114607,173906951,118070407,291977358,57982,11028,69010
2022-09-18,137088,65054,72034,87819106,67509522,155328628,38946,9823,48769
2017-04-23,522,198,324,445800,522350,968150,105,35,140
2020-10-11,116814,55502,61312,66577103,58190580,124767683,28380,9903,38283
2023-11-03,218048,79984,138064,236381578,134899675,371281253,74803,13263,88066
2020-08-09,89673,39869,49804,57652199,48574441,106226640,28157,5416,33573
2016-05-10,1492,175,1317,1125048,216545,1341593,935,21,956
2025-03-04,254787,76614,178173,348553401,172179541,520732942,103923,6623,110546
2015-07-21,143,48,95,654300,336275,990575,4,0,4
2019-09-16,60214,30919,29295,10638041,51316590,61954631,23880,8698,32578
2022-06-01,136494,73787,62707,102635036,115737131,218372167,42745,11653,54398
2015-07-15,142,55,87,959500,403985,1363485,0,0,0
2016-08-03,1674,84,1590,830425,259500,1089925,1308,25,1333
2026-01-03,292558,44789,247769,470708388,69488178,540196566,33729,973,34702
2021-06-03,97124,42721,54403,59052269,65243810,124296079,28484,10103,38587
2018-12-01,23224,19919,3305,6061968,55824411,61886379,1555,650,2205
2019-03-14,32928,26814,6114,7839895,37496912,45336807,3168,2828,5996
2016-10-31,278,22,256,111350,6700,118050,204,8,212
2018-12-22,19523,16710,2813,5508575,30612019,36120594,1628,716,2344
2016-01-15,999,105,894,699280,198050,897330,687,53,740
2016-04-25,1602,232,1370,945300,465510,1410810,1067,37,1104
2022-07-04,132497,67770,64727,87893807,86633610,174527417,36336,10997,47333
2021-07-30,127752,64669,63083,62888929,67479916,130368845,26904,12729,39633
2016-06-05,591,56,535,1022950,130620,1153570,325,12,337
2019-12-30,73888,30800,43088,9564740,38576102,48140842,37926,7939,45865
2015-11-05,1151,141,1010,923550,171550,1095100,903,35,938
2018-06-08,9940,8448,1492,3141865,21503300,24645165,826,342,1168
2022-11-05,151497,73152,78345,142854940,115169653,258024593,50950,12014,62964
2025-03-07,268433,77900,190533,373468889,228697193,602166082,108607,7340,115947
2025-06-23,282142,65755,216387,401371319,99976417,501347736,116920,5602,122522
2024-04-02,227837,77650,150187,231761203,120171582,351932785,76230,10789,87019
2015-08-13,99,33,66,311300,239750,551050,3,1,4
2016-02-15,1547,148,1399,692550,152500,845050,1019,56,1075
2020-04-19,80760,38087,42673,39930110,27891543,67821653,23082,10112,33194
2023-05-21,168373,67151,101222,165123883,88176641,253300524,64707,13555,78262
2019-11-24,76712,41690,35022,14653148,45487206,60140354,28569,12958,41527
2022-08-25,152457,77868,74589,124529315,111447448,235976763,45305,12017,57322
2024-09-26,226225,70701,155524,255947956,106835007,362782963,78505,8727,87232
2020-01-20,105669,44607,61062,16046092,49669293,65715385,49210,9052,58262
2021-10-26,113807,58986,54821,73787247,74161956,147949203,26257,9145,35402
2025-08-17,219945,49695,170250,320139097,66788811,386927908,88264,3617,91881
2022-06-07,139249,74079,65170,107103634,112410413,219514047,44964,11732,56696
2020-09-19,139672,65793,73879,85173326,73927075,159100401,31589,11607,43196
2015-02-01,69,21,48,413896,68200,482096,3,2,5
2025-12-15,297330,45023,252307,511517590,78016187,589533777,42704,1234,43938
2018-01-06,1807,1031,776,1859952,8407466,10267418,615,183,798
2015-01-31,89,19,70,563971,111300,675271,2,0,2
2017-03-06,946,238,708,1051850,851934,1903784,429,32,461
2015-07-26,87,33,54,416000,220550,636550,0,2,2
2025-06-09,287888,71286,216602,402240424,116262629,518503053,121945,5297,127242
2025-06-05,288602,73293,215309,420548848,125091033,545639881,118686,5602,124288
2016-11-05,760,71,689,756629,232100,988729,566,11,577
2017-02-21,1021,213,808,1438650,290551,1729201,486,50,536
2018-12-18,19684,16618,3066,5099501,29839105,34938606,1747,809,2556
2019-09-09,74239,39305,34934,13035937,52652149,65688086,28201,8434,36635
2018-12-08,18805,15542,3263,3539273,26662403,30201676,1417,503,1920
2018-08-28,12064,9733,2331,5196754,22386213,27582967,1234,348,1582
2023-12-08,199200,73583,125617,200576503,111255858,311832361,59273,11002,70275
2025-03-19,275274,76334,198940,411635238,160381401,572016639,110644,7175,117819
2016-02-12,1794,173,1621,1077990,311643,1389633,1229,53,1282
2016-02-27,1088,102,986,758050,184750,942800,749,19,768
2019-05-16,48538,35398,13140,12277062,43813083,56090145,5821,3680,9501
2019-09-10,64685,32889,31796,10466612,44511244,54977856,25761,6723,32484
2024-06-21,215160,68873,146287,222768037,116231168,338999205,76410,9060,85470
